jobsite_id,name,region,city,lat,lon,project_type,phase,urgency,required_headcount,required_skills,required_certifications,required_equipment,shift_start,shift_end,weather_risk,schedule_volatility,can_accept_robotics,inspection_need,change_order_exposure,status
J001,Lehigh Acres / Immokalee Municipal 01,Lehigh-Immokalee,Lehigh Acres / Immokalee,26.713626,-81.605826,municipal,interiors,3,2,project engineer|project manager|safety manager,First Aid/CPR|OSHA 30,document control kit,07:30,17:00,0.341,0.316,True,0.808,1744.45,inspection pending
J002,Punta Gorda / Sarasota Education 02,Sarasota-Punta Gorda,Punta Gorda / Sarasota,27.199666,-82.015025,education,closeout,3,2,project manager|quality manager|safety manager,First Aid/CPR|OSHA 30|quality management,document control kit,06:30,15:30,0.655,0.531,True,0.684,10802.02,inspection pending
J003,Lehigh Acres / Immokalee Healthcare 03,Lehigh-Immokalee,Lehigh Acres / Immokalee,26.641524,-81.659358,healthcare,structure,5,2,MEP coordinator|project superintendent|safety manager,First Aid/CPR|ICRA awareness|MEP coordination|OSHA 30,QA/QC inspection kit,06:30,16:00,0.195,0.826,False,0.47,635.36,ready
J004,Naples Municipal 04,Naples,Naples,26.09357,-81.853304,municipal,inspection readiness,3,2,project engineer|project manager|safety manager,First Aid/CPR|OSHA 30|stormwater inspector,document control kit,07:00,15:00,0.324,0.203,True,0.675,4105.17,hot
J005,Bonita Springs / Estero Education 05,Bonita-Estero,Bonita Springs / Estero,26.289531,-81.867674,education,interiors,3,2,project manager|quality manager|safety manager,First Aid/CPR|OSHA 30|quality management,document control kit,07:30,15:30,0.642,0.5,True,0.826,6007.2,inspection pending
J006,Fort Myers Municipal 06,Fort Myers,Fort Myers,26.690406,-81.78395,municipal,interiors,3,1,project manager|quality manager|safety manager,First Aid/CPR|OSHA 30|quality management,document control kit,06:30,15:00,0.229,0.402,False,0.432,2891.62,inspection pending
J007,Bonita Springs / Estero Clubhouse/Amenity 07,Bonita-Estero,Bonita Springs / Estero,26.429715,-81.71252,clubhouse/amenity,structure,2,3,quality manager|safety manager,First Aid/CPR|OSHA 30|quality management,temporary office kit,06:30,15:00,0.125,0.438,False,0.195,3033.94,inspection pending
J008,Lehigh Acres / Immokalee Industrial 08,Lehigh-Immokalee,Lehigh Acres / Immokalee,26.664349,-81.639593,industrial,MEP rough-in,4,1,MEP coordinator|project superintendent|safety manager,First Aid/CPR|MEP coordination|OSHA 30,safety trailer,07:00,16:00,0.341,0.622,False,0.404,3683.58,inspection pending
J009,Bonita Springs / Estero Industrial 09,Bonita-Estero,Bonita Springs / Estero,26.32837,-81.800822,industrial,MEP rough-in,1,3,MEP coordinator|project superintendent|safety manager,First Aid/CPR|MEP coordination|OSHA 30,safety trailer,06:30,15:30,0.445,0.15,False,0.387,500.0,inspection pending
J010,Punta Gorda / Sarasota Adaptive Reuse 10,Sarasota-Punta Gorda,Punta Gorda / Sarasota,26.978993,-82.136356,adaptive reuse,inspection readiness,5,2,project engineer|project executive,,laser scanner,06:30,15:30,0.233,0.249,True,0.543,10274.1,inspection pending
J011,Naples Adaptive Reuse 11,Naples,Naples,26.10498,-81.763995,adaptive reuse,interiors,5,3,assistant superintendent|closeout manager|quality manager,First Aid/CPR|OSHA 30|quality management,document control kit,07:30,15:30,0.334,0.58,False,0.189,1674.91,ready
